"","RNA-hipocampo-5xFAD-A.bam","RNA-hipocampo-5xFAD-B.bam","RNA-hipocampo-WT-A.bam","RNA-hipocampo-WT-B.bam"
"ENSMUSG00000026729",0,0,0,0
"ENSMUSG00000026725",0,0,0,0
"ENSMUSG00000058267",11,9,6,5
"ENSMUSG00000014226",8,2,8,10
"ENSMUSG00000103006",0,0,0,0
"ENSMUSG00000026721",16,10,11,15
"ENSMUSG00000104302",0,1,0,0
"ENSMUSG00000089204",0,0,0,0
"ENSMUSG00000103522",0,0,0,0
"ENSMUSG00000103693",0,0,0,0
"ENSMUSG00000104026",0,0,0,0
"ENSMUSG00000118401",0,0,1,1
"ENSMUSG00000104020",0,0,0,0
"ENSMUSG00000103391",0,0,0,0
"ENSMUSG00000103432",0,0,0,0
"ENSMUSG00000077759",0,0,0,0
"ENSMUSG00000102172",0,0,0,0
"ENSMUSG00000103200",0,1,0,0
"ENSMUSG00000103632",0,0,0,0
"ENSMUSG00000104053",0,0,0,0
"ENSMUSG00000102852",0,0,0,0
"ENSMUSG00000103631",0,0,0,0
"ENSMUSG00000077648",0,0,0,0
"ENSMUSG00000057499",0,0,0,0
"ENSMUSG00000040423",5,5,9,6
"ENSMUSG00000103343",0,0,0,0
"ENSMUSG00000103846",0,0,0,0
"ENSMUSG00000103739",0,0,0,0
"ENSMUSG00000026715",0,0,0,0
"ENSMUSG00000103222",0,0,0,0
"ENSMUSG00000103680",0,0,0,0
"ENSMUSG00000043467",0,1,1,0
"ENSMUSG00000104016",0,0,0,0
"ENSMUSG00000053332",9,5,8,12
"ENSMUSG00000064440",0,0,0,0
"ENSMUSG00000080463",0,0,0,0
"ENSMUSG00000064816",0,0,0,0
"ENSMUSG00000084667",0,0,0,0
"ENSMUSG00000077220",0,0,0,0
"ENSMUSG00000065160",0,0,0,0
"ENSMUSG00000065735",0,0,0,0
"ENSMUSG00000105780",0,0,0,0
"ENSMUSG00000064968",0,0,0,0
"ENSMUSG00000065228",0,0,0,0
"ENSMUSG00000026709",4,2,2,3
"ENSMUSG00000102864",0,0,0,0
"ENSMUSG00000026708",0,0,1,0
"ENSMUSG00000026705",2,2,7,6
"ENSMUSG00000044835",10,4,17,11
"ENSMUSG00000049160",0,0,0,0
"ENSMUSG00000102817",0,0,0,0
"ENSMUSG00000026701",105,105,40,50
"ENSMUSG00000104163",0,0,0,0
"ENSMUSG00000026700",0,0,0,0
"ENSMUSG00000066755",0,0,0,0
"ENSMUSG00000089353",0,0,0,0
"ENSMUSG00000102860",0,0,0,0
"ENSMUSG00000040323",12,10,11,7
"ENSMUSG00000102399",0,0,0,1
"ENSMUSG00000000817",0,0,0,0
"ENSMUSG00000103625",0,0,0,0
"ENSMUSG00000040297",7,8,7,7
"ENSMUSG00000102254",0,0,0,0
"ENSMUSG00000103158",0,0,0,0
"ENSMUSG00000086277",0,0,0,0
"ENSMUSG00000026698",6,5,6,4
"ENSMUSG00000103393",0,0,0,0
"ENSMUSG00000040265",17,11,24,17
"ENSMUSG00000090260",0,0,0,0
"ENSMUSG00000102994",0,0,0,0
"ENSMUSG00000078190",0,0,0,0
"ENSMUSG00000070126",0,0,0,0
"ENSMUSG00000065516",0,0,0,0
"ENSMUSG00000089933",0,0,0,0
"ENSMUSG00000066752",0,0,0,0
"ENSMUSG00000026694",7,7,7,7
"ENSMUSG00000026696",21,19,22,16
"ENSMUSG00000091743",0,0,0,0
"ENSMUSG00000026697",18,4,17,20
"ENSMUSG00000091060",1,0,0,0
"ENSMUSG00000040225",16,7,20,20
"ENSMUSG00000098259",0,0,1,0
"ENSMUSG00000026692",0,0,0,0
"ENSMUSG00000040181",3,3,1,2
"ENSMUSG00000040170",4,3,2,0
"ENSMUSG00000095576",0,0,0,0
"ENSMUSG00000026691",0,0,0,0
"ENSMUSG00000103288",0,0,0,0
"ENSMUSG00000071890",0,0,0,0
"ENSMUSG00000077608",0,0,0,0
"ENSMUSG00000103102",0,0,0,0
"ENSMUSG00000089174",0,0,0,0
"ENSMUSG00000026586",1,2,2,0
"ENSMUSG00000092188",0,0,0,0
"ENSMUSG00000103195",0,0,0,0
"ENSMUSG00000040124",1,0,2,2
"ENSMUSG00000088951",0,0,0,0
"ENSMUSG00000101869",0,0,0,0
"ENSMUSG00000102117",0,1,2,0
"ENSMUSG00000040113",1,0,0,0
"ENSMUSG00000089700",0,0,0,0
"ENSMUSG00000026585",47,43,64,59
"ENSMUSG00000026584",5,2,5,10
"ENSMUSG00000041406",0,0,0,0
"ENSMUSG00000041396",2,1,1,2
"ENSMUSG00000103960",0,0,0,0
"ENSMUSG00000026582",0,0,0,0
"ENSMUSG00000026581",0,0,0,0
"ENSMUSG00000026580",0,0,0,0
"ENSMUSG00000090081",0,0,0,0
"ENSMUSG00000086593",0,0,0,0
"ENSMUSG00000026579",3,0,2,0
"ENSMUSG00000089790",0,0,0,0
"ENSMUSG00000040918",3,3,2,5
"ENSMUSG00000026578",8,8,11,4
"ENSMUSG00000026577",2,6,4,4
"ENSMUSG00000026575",1,5,2,0
"ENSMUSG00000103493",0,0,0,0
"ENSMUSG00000026576",152,140,199,168
"ENSMUSG00000104011",1,1,1,0
"ENSMUSG00000103226",0,0,0,0
"ENSMUSG00000097281",0,0,0,1
"ENSMUSG00000102389",0,0,0,0
"ENSMUSG00000103383",0,0,0,0
"ENSMUSG00000102897",0,0,0,0
"ENSMUSG00000102761",0,0,0,0
"ENSMUSG00000102163",0,0,0,0
"ENSMUSG00000026574",0,0,0,0
"ENSMUSG00000103659",0,0,0,0
"ENSMUSG00000104117",1,0,0,0
"ENSMUSG00000103320",0,0,0,0
"ENSMUSG00000026573",0,0,0,0
"ENSMUSG00000101189",0,0,0,0
"ENSMUSG00000080561",0,0,0,0
"ENSMUSG00000102408",0,0,0,0
"ENSMUSG00000026572",0,0,0,1
"ENSMUSG00000089967",1,0,0,2
"ENSMUSG00000040848",16,10,9,9
"ENSMUSG00000040843",13,16,5,13
"ENSMUSG00000102302",0,0,1,0
"ENSMUSG00000040836",17,18,9,14
"ENSMUSG00000026571",10,6,6,9
"ENSMUSG00000104427",0,0,0,0
"ENSMUSG00000089299",0,0,0,0
"ENSMUSG00000102401",0,0,0,0
"ENSMUSG00000026568",10,9,15,11
"ENSMUSG00000103763",0,0,0,0
"ENSMUSG00000026567",0,0,0,0
"ENSMUSG00000103059",0,0,0,0
"ENSMUSG00000103583",0,0,0,0
"ENSMUSG00000087886",0,0,0,0
"ENSMUSG00000089291",0,0,0,0
"ENSMUSG00000104474",0,0,0,0
"ENSMUSG00000026566",10,8,5,9
"ENSMUSG00000103098",0,0,0,0
"ENSMUSG00000104517",0,0,0,0
"ENSMUSG00000040723",6,3,3,4
"ENSMUSG00000105249",0,0,0,0
"ENSMUSG00000103686",0,0,0,0
"ENSMUSG00000103242",0,0,0,0
"ENSMUSG00000040713",13,15,10,15
"ENSMUSG00000104306",0,0,0,0
"ENSMUSG00000089829",0,0,0,0
"ENSMUSG00000088618",0,0,0,0
"ENSMUSG00000005763",0,0,0,0
"ENSMUSG00000094394",0,0,0,0
"ENSMUSG00000102363",0,0,0,0
"ENSMUSG00000103768",0,0,0,0
"ENSMUSG00000102154",0,0,0,0
"ENSMUSG00000026565",6,3,2,3
"ENSMUSG00000099008",0,0,0,0
"ENSMUSG00000097196",0,0,0,0
"ENSMUSG00000102890",0,0,0,0
"ENSMUSG00000102484",0,0,0,0
"ENSMUSG00000026564",1,0,0,0
"ENSMUSG00000000544",0,0,0,0
"ENSMUSG00000040629",0,0,0,0
"ENSMUSG00000040612",16,34,40,30
"ENSMUSG00000091393",0,0,0,0
"ENSMUSG00000103400",0,0,1,0
"ENSMUSG00000026563",4,1,2,4
"ENSMUSG00000040596",20,19,16,14
"ENSMUSG00000084093",41,37,25,24
"ENSMUSG00000104194",0,0,0,0
"ENSMUSG00000086056",0,0,0,0
"ENSMUSG00000096172",0,0,0,0
"ENSMUSG00000051081",0,0,0,0
"ENSMUSG00000026560",0,0,0,0
"ENSMUSG00000085841",0,0,0,0
"ENSMUSG00000103073",0,0,0,0
"ENSMUSG00000086925",0,0,0,0
"ENSMUSG00000102548",0,0,0,0
"ENSMUSG00000097823",6,4,7,6
"ENSMUSG00000060568",10,7,16,5
"ENSMUSG00000102870",0,0,1,0
"ENSMUSG00000103333",0,0,0,0
"ENSMUSG00000026558",12,9,13,8
"ENSMUSG00000103139",0,0,0,0
"ENSMUSG00000102909",0,0,0,0
"ENSMUSG00000098379",0,0,0,0
"ENSMUSG00000102337",0,0,0,0
"ENSMUSG00000052428",7,2,5,5
"ENSMUSG00000088246",0,0,1,3
"ENSMUSG00000095752",0,0,0,0
"ENSMUSG00000026687",8,9,8,8
"ENSMUSG00000026688",6,9,4,10
"ENSMUSG00000040485",0,0,0,0
"ENSMUSG00000015843",0,0,0,0
"ENSMUSG00000026686",0,0,1,0
"ENSMUSG00000093538",0,0,0,0
"ENSMUSG00000052534",27,34,37,33
"ENSMUSG00000103780",0,0,0,0
"ENSMUSG00000102594",0,0,0,0
"ENSMUSG00000098407",0,0,0,0
"ENSMUSG00000103463",0,0,0,0
"ENSMUSG00000098829",0,0,0,0
"ENSMUSG00000103530",0,0,0,0
"ENSMUSG00000058622",0,0,0,0
"ENSMUSG00000026683",0,0,0,0
"ENSMUSG00000103526",0,0,0,0
"ENSMUSG00000103267",0,0,0,0
"ENSMUSG00000026678",42,24,31,23
"ENSMUSG00000038530",49,32,92,61
"ENSMUSG00000096772",0,0,0,0
"ENSMUSG00000103110",0,0,0,0
"ENSMUSG00000070532",4,4,1,3
"ENSMUSG00000089990",0,0,0,0
"ENSMUSG00000026675",4,0,2,7
"ENSMUSG00000097503",0,0,0,1
"ENSMUSG00000026674",6,0,4,4
"ENSMUSG00000026670",8,6,7,10
"ENSMUSG00000104266",0,0,0,0
"ENSMUSG00000103908",0,0,0,0
"ENSMUSG00000026667",57,37,67,60
"ENSMUSG00000044306",0,0,0,0
"ENSMUSG00000073494",0,0,0,0
"ENSMUSG00000096964",0,0,1,0
"ENSMUSG00000102418",0,0,0,0
"ENSMUSG00000102752",2,1,2,3
"ENSMUSG00000038473",6,5,11,11
"ENSMUSG00000042800",0,0,0,0
"ENSMUSG00000102193",0,0,0,0
"ENSMUSG00000038463",9,15,7,9
"ENSMUSG00000026663",16,19,19,18
"ENSMUSG00000096310",0,0,0,0
"ENSMUSG00000096547",0,0,0,0
"ENSMUSG00000053925",1,1,0,1
"ENSMUSG00000026659",2,1,4,4
"ENSMUSG00000096968",0,0,0,0
"ENSMUSG00000070524",0,0,0,0
"ENSMUSG00000038421",0,0,0,0
"ENSMUSG00000089838",11,11,11,12
"ENSMUSG00000104386",0,0,0,0
"ENSMUSG00000026656",6,7,0,1
"ENSMUSG00000103676",0,0,0,0
"ENSMUSG00000104340",0,0,0,0
"ENSMUSG00000059089",2,0,0,0
"ENSMUSG00000065905",0,0,0,0
"ENSMUSG00000059498",21,17,8,4
"ENSMUSG00000099119",0,0,0,0
"ENSMUSG00000098356",0,0,0,0
"ENSMUSG00000098965",0,0,0,0
"ENSMUSG00000026649",0,0,2,0
"ENSMUSG00000058076",23,33,20,29
"ENSMUSG00000056569",0,1,0,0
"ENSMUSG00000038370",26,24,46,25
"ENSMUSG00000005677",2,2,0,1
"ENSMUSG00000005674",1,2,1,4
"ENSMUSG00000005681",0,0,0,0
"ENSMUSG00000058715",3,5,3,2
"ENSMUSG00000013593",16,25,18,16
"ENSMUSG00000006403",4,2,4,1
"ENSMUSG00000052423",2,4,5,11
"ENSMUSG00000062729",9,6,11,8
"ENSMUSG00000053483",8,14,7,13
"ENSMUSG00000062963",12,22,17,15
"ENSMUSG00000079137",0,0,0,0
"ENSMUSG00000087747",0,0,0,0
"ENSMUSG00000103983",0,0,2,2
"ENSMUSG00000013973",0,1,2,1
"ENSMUSG00000013997",5,9,10,3
"ENSMUSG00000006412",16,13,17,12
"ENSMUSG00000102929",0,0,0,0
"ENSMUSG00000045259",3,5,0,4
"ENSMUSG00000103727",0,0,0,0
"ENSMUSG00000006411",3,4,4,1
"ENSMUSG00000048865",2,0,2,1
"ENSMUSG00000026641",19,26,24,23
"ENSMUSG00000103711",0,1,1,0
"ENSMUSG00000038235",4,1,0,3
"ENSMUSG00000091993",0,0,0,0
"ENSMUSG00000094668",0,0,0,0
"ENSMUSG00000060244",0,0,0,0
"ENSMUSG00000038218",0,0,0,0
"ENSMUSG00000038209",0,0,0,0
"ENSMUSG00000103980",0,0,0,0
"ENSMUSG00000004709",0,0,0,0
"ENSMUSG00000004707",0,1,0,0
"ENSMUSG00000038179",0,0,0,0
"ENSMUSG00000103219",0,0,0,0
"ENSMUSG00000098316",0,0,0,0
"ENSMUSG00000103083",0,0,0,0
"ENSMUSG00000103137",0,0,1,4
"ENSMUSG00000015355",0,1,0,2
"ENSMUSG00000103883",0,0,0,0
"ENSMUSG00000059058",4,5,4,3
"ENSMUSG00000104224",0,0,0,0
"ENSMUSG00000104440",0,0,0,0
"ENSMUSG00000088291",0,0,0,0
"ENSMUSG00000095636",0,0,0,0
"ENSMUSG00000015316",0,0,0,1
"ENSMUSG00000038147",1,1,1,0
"ENSMUSG00000073492",0,0,0,0
"ENSMUSG00000104413",0,0,0,0
"ENSMUSG00000015314",1,0,0,0
"ENSMUSG00000026556",0,2,3,4
"ENSMUSG00000051251",0,1,0,0
"ENSMUSG00000003458",20,13,9,16
"ENSMUSG00000026553",24,15,26,25
"ENSMUSG00000102779",0,0,0,0
"ENSMUSG00000103380",0,0,0,0
"ENSMUSG00000003464",23,26,14,19
"ENSMUSG00000089803",1,0,0,0
"ENSMUSG00000026554",56,46,39,33
"ENSMUSG00000013698",234,229,159,181
"ENSMUSG00000007122",1,0,2,0
"ENSMUSG00000092085",0,1,0,1
"ENSMUSG00000007107",0,0,0,0
"ENSMUSG00000103617",0,0,0,0
"ENSMUSG00000038034",75,102,78,74
"ENSMUSG00000007097",299,247,334,264
"ENSMUSG00000038026",76,42,86,88
"ENSMUSG00000102413",0,1,2,0
"ENSMUSG00000044708",65,45,58,35
"ENSMUSG00000050229",1,2,2,4
"ENSMUSG00000102278",0,0,0,0
"ENSMUSG00000103357",0,0,0,0
"ENSMUSG00000026548",2,0,0,1
"ENSMUSG00000037995",1,0,1,1
"ENSMUSG00000026547",4,4,3,2
"ENSMUSG00000104351",0,0,0,0
"ENSMUSG00000026546",1,0,3,2
"ENSMUSG00000085184",0,0,0,0
"ENSMUSG00000049598",0,1,0,0
"ENSMUSG00000053318",0,0,0,0
"ENSMUSG00000070504",0,0,0,0
"ENSMUSG00000026544",1,2,3,5
"ENSMUSG00000060128",0,0,0,1
"ENSMUSG00000088813",0,0,0,0
"ENSMUSG00000037942",0,0,0,0
"ENSMUSG00000102430",0,0,0,0
"ENSMUSG00000070182",0,0,0,0
"ENSMUSG00000102701",0,0,0,0
"ENSMUSG00000026542",0,0,0,0
"ENSMUSG00000077252",0,0,0,0
"ENSMUSG00000037924",0,0,0,0
"ENSMUSG00000106730",0,0,0,0
"ENSMUSG00000107139",0,0,0,0
"ENSMUSG00000103338",0,0,0,0
"ENSMUSG00000062527",0,0,0,0
"ENSMUSG00000066680",0,0,0,0
"ENSMUSG00000058981",0,0,0,0
"ENSMUSG00000046643",0,0,0,0
"ENSMUSG00000049456",0,0,0,0
"ENSMUSG00000005339",0,0,0,0
"ENSMUSG00000049605",0,0,0,0
"ENSMUSG00000079180",0,0,0,0
"ENSMUSG00000037872",26,31,21,24
"ENSMUSG00000005338",143,168,115,159
"ENSMUSG00000037860",0,0,0,0
"ENSMUSG00000037849",0,0,0,0
"ENSMUSG00000070501",0,0,0,0
"ENSMUSG00000104989",0,0,0,0
"ENSMUSG00000073491",0,0,0,0
"ENSMUSG00000043263",0,0,0,0
"ENSMUSG00000106299",0,0,0,0
"ENSMUSG00000066677",0,0,0,0
"ENSMUSG00000103105",0,0,0,0
"ENSMUSG00000103051",0,0,0,0
"ENSMUSG00000073490",1,0,0,0
"ENSMUSG00000073489",0,0,1,0
"ENSMUSG00000090222",0,0,1,0
"ENSMUSG00000102187",0,0,0,0
"ENSMUSG00000090272",0,0,1,0
"ENSMUSG00000102433",0,0,0,0
"ENSMUSG00000026536",0,0,0,0
"ENSMUSG00000039997",1,1,1,0
"ENSMUSG00000026535",0,0,0,0
"ENSMUSG00000103588",0,0,0,0
"ENSMUSG00000054203",0,0,1,0
"ENSMUSG00000045381",0,0,0,0
"ENSMUSG00000047048",0,0,0,0
"ENSMUSG00000102603",0,0,0,0
"ENSMUSG00000050134",0,0,0,0
"ENSMUSG00000049528",0,0,0,0
"ENSMUSG00000106975",0,0,0,0
"ENSMUSG00000059371",0,0,0,0
"ENSMUSG00000103863",0,0,0,0
"ENSMUSG00000046486",0,0,0,0
"ENSMUSG00000051528",0,0,0,0
"ENSMUSG00000102371",0,0,0,0
"ENSMUSG00000091950",0,0,0,0
"ENSMUSG00000055033",0,0,0,0
"ENSMUSG00000107114",0,0,0,0
"ENSMUSG00000026532",0,0,0,0
"ENSMUSG00000050788",0,0,0,0
"ENSMUSG00000026531",0,0,0,0
"ENSMUSG00000066672",0,0,0,0
"ENSMUSG00000102920",0,0,0,0
"ENSMUSG00000059503",0,0,0,0
"ENSMUSG00000051509",0,0,0,0
"ENSMUSG00000066671",0,0,0,0
"ENSMUSG00000028354",7,6,8,11
"ENSMUSG00000050069",5,4,7,5
"ENSMUSG00000026527",11,10,7,13
"ENSMUSG00000104343",0,0,0,0
"ENSMUSG00000103079",0,0,0,0
"ENSMUSG00000026526",5,7,10,7
"ENSMUSG00000039783",0,0,0,0
"ENSMUSG00000026525",1,0,0,0
"ENSMUSG00000078185",0,2,1,0
"ENSMUSG00000026523",0,0,0,0
"ENSMUSG00000077794",0,0,0,0
"ENSMUSG00000039748",0,0,0,0
"ENSMUSG00000094820",0,0,0,0
"ENSMUSG00000104158",0,0,0,0
"ENSMUSG00000103540",0,0,0,0
"ENSMUSG00000055214",1,0,0,1
"ENSMUSG00000078184",6,8,5,5
"ENSMUSG00000104363",0,0,0,0
"ENSMUSG00000103277",0,0,0,0
"ENSMUSG00000104157",0,0,0,0
"ENSMUSG00000102446",0,0,0,0
"ENSMUSG00000104248",0,0,0,0
"ENSMUSG00000104021",0,0,0,0
"ENSMUSG00000103471",0,0,0,0
"ENSMUSG00000087875",0,0,0,0
"ENSMUSG00000057335",8,4,10,6
"ENSMUSG00000103634",0,0,0,0
"ENSMUSG00000104154",0,0,0,0
"ENSMUSG00000103435",0,0,0,0
"ENSMUSG00000065573",0,0,0,0
"ENSMUSG00000084749",0,0,0,0
"ENSMUSG00000026504",12,10,11,11
"ENSMUSG00000103367",0,0,0,0
"ENSMUSG00000103584",0,0,0,0
"ENSMUSG00000093132",0,0,0,0
"ENSMUSG00000102475",0,0,0,0
"ENSMUSG00000102211",2,1,0,0
"ENSMUSG00000087082",0,1,0,0
"ENSMUSG00000103251",0,0,0,0
"ENSMUSG00000019699",28,21,25,30
"ENSMUSG00000104391",0,0,0,0
"ENSMUSG00000102133",0,0,0,0
"ENSMUSG00000102749",0,0,0,0
"ENSMUSG00000103163",0,0,0,0
"ENSMUSG00000103646",0,0,0,0
"ENSMUSG00000102427",0,0,0,0
"ENSMUSG00000103633",0,0,0,0
"ENSMUSG00000097892",0,1,0,0
"ENSMUSG00000063659",59,37,67,66
"ENSMUSG00000102432",0,1,0,0
"ENSMUSG00000103043",0,0,0,0
"ENSMUSG00000102885",0,0,0,0
"ENSMUSG00000103767",0,0,0,0
"ENSMUSG00000101746",0,0,0,0
"ENSMUSG00000015962",0,0,0,0
"ENSMUSG00000015961",14,10,7,7
"ENSMUSG00000089657",1,0,0,0
"ENSMUSG00000102483",0,0,0,0
"ENSMUSG00000091476",0,0,1,0
"ENSMUSG00000104097",0,0,0,1
"ENSMUSG00000095731",0,0,0,0
"ENSMUSG00000102493",2,3,1,1
"ENSMUSG00000026502",3,2,8,7
"ENSMUSG00000103958",0,0,0,0
"ENSMUSG00000070489",0,0,0,0
"ENSMUSG00000104126",5,7,5,4
"ENSMUSG00000086350",1,1,1,0
"ENSMUSG00000026500",1,0,0,0
"ENSMUSG00000039630",70,47,80,69
"ENSMUSG00000104279",1,0,0,1
"ENSMUSG00000099303",0,0,0,0
"ENSMUSG00000064954",0,0,0,0
"ENSMUSG00000026495",3,3,1,4
"ENSMUSG00000026494",2,1,3,3
"ENSMUSG00000064967",0,0,0,0
"ENSMUSG00000102922",0,0,0,0
"ENSMUSG00000089713",0,0,0,0
"ENSMUSG00000055067",5,2,7,5
"ENSMUSG00000096474",0,0,0,0
"ENSMUSG00000026492",1,6,2,2
"ENSMUSG00000082395",0,0,0,0
"ENSMUSG00000038949",15,8,14,12
"ENSMUSG00000038936",8,14,5,9
"ENSMUSG00000087236",0,0,0,0
"ENSMUSG00000026491",13,6,9,12
"ENSMUSG00000073486",0,0,0,0
"ENSMUSG00000104418",2,0,0,2
"ENSMUSG00000026490",52,44,54,60
"ENSMUSG00000102194",0,0,0,0
"ENSMUSG00000103636",0,0,0,0
"ENSMUSG00000026489",17,22,14,24
"ENSMUSG00000104520",0,0,0,0
"ENSMUSG00000010609",8,7,4,3
"ENSMUSG00000102923",0,0,0,0
"ENSMUSG00000055676",1,4,2,3
"ENSMUSG00000038855",27,30,28,23
"ENSMUSG00000104388",0,0,0,0
"ENSMUSG00000103123",0,0,0,0
"ENSMUSG00000103772",0,0,0,0
"ENSMUSG00000053963",160,252,145,187
"ENSMUSG00000104210",0,0,0,0
"ENSMUSG00000102608",0,0,0,0
"ENSMUSG00000026496",11,17,12,17
"ENSMUSG00000098926",0,0,0,0
"ENSMUSG00000058729",0,1,1,1
"ENSMUSG00000026497",0,0,0,0
"ENSMUSG00000104202",0,0,0,0
"ENSMUSG00000026499",6,5,4,7
"ENSMUSG00000103649",0,2,1,1
"ENSMUSG00000103156",0,0,0,0
"ENSMUSG00000060743",2,1,7,2
"ENSMUSG00000073485",0,1,1,0
"ENSMUSG00000084558",0,0,0,0
"ENSMUSG00000038806",8,5,8,6
"ENSMUSG00000103979",0,0,0,0
"ENSMUSG00000104251",0,0,0,0
"ENSMUSG00000066652",1,2,0,0
"ENSMUSG00000026520",13,15,10,12
"ENSMUSG00000038793",3,6,2,1
"ENSMUSG00000026519",13,12,6,13
"ENSMUSG00000085563",1,0,0,0
"ENSMUSG00000103930",0,0,0,0
"ENSMUSG00000038776",5,7,1,4
"ENSMUSG00000103516",0,0,0,0
"ENSMUSG00000102858",0,0,0,0
"ENSMUSG00000038768",0,0,0,0
"ENSMUSG00000104390",0,0,0,0
"ENSMUSG00000103328",0,0,0,0
"ENSMUSG00000102219",0,0,0,0
"ENSMUSG00000026516",6,9,13,11
"ENSMUSG00000103178",0,0,0,0
"ENSMUSG00000062169",16,14,5,13
"ENSMUSG00000038733",18,20,32,29
"ENSMUSG00000054135",0,0,0,0
"ENSMUSG00000081214",0,0,0,0
"ENSMUSG00000103260",2,2,0,3
"ENSMUSG00000026514",12,29,11,27
"ENSMUSG00000102276",0,0,0,0
"ENSMUSG00000089888",0,0,0,0
"ENSMUSG00000089927",0,0,0,0
"ENSMUSG00000050625",0,0,1,0
"ENSMUSG00000047369",0,1,0,0
"ENSMUSG00000103100",0,0,0,0
"ENSMUSG00000064970",0,0,0,0
"ENSMUSG00000004880",2,1,0,0
"ENSMUSG00000089429",0,0,0,0
"ENSMUSG00000056699",0,0,0,0
"ENSMUSG00000022995",50,42,40,38
"ENSMUSG00000103722",0,0,0,0
"ENSMUSG00000103317",0,0,0,0
"ENSMUSG00000102950",0,0,0,0
"ENSMUSG00000102760",0,0,0,0
"ENSMUSG00000103379",0,0,0,0
"ENSMUSG00000026511",23,20,22,21
"ENSMUSG00000103018",0,0,0,0
"ENSMUSG00000091013",0,0,0,0
"ENSMUSG00000038633",21,26,29,33
"ENSMUSG00000100147",4,6,3,2
"ENSMUSG00000047539",20,6,13,13
"ENSMUSG00000097260",0,0,0,0
"ENSMUSG00000073482",0,0,0,0
"ENSMUSG00000026510",9,6,9,9
"ENSMUSG00000026509",23,13,16,16
"ENSMUSG00000102234",0,0,0,0
"ENSMUSG00000104415",2,1,2,1
"ENSMUSG00000103878",0,0,0,0
"ENSMUSG00000038599",0,0,0,0
"ENSMUSG00000104376",0,0,0,0
"ENSMUSG00000102688",0,0,0,0
"ENSMUSG00000043429",0,0,0,0
"ENSMUSG00000038576",35,55,46,42
"ENSMUSG00000102291",0,0,0,0
"ENSMUSG00000079164",1,1,0,0
"ENSMUSG00000104367",0,0,0,0
"ENSMUSG00000094807",0,0,0,0
"ENSMUSG00000030768",4,2,0,1
"ENSMUSG00000102478",0,0,0,0
"ENSMUSG00000118599",0,0,0,0
"ENSMUSG00000046836",13,21,14,9
"ENSMUSG00000042901",14,9,23,14
"ENSMUSG00000056050",10,3,9,9
"ENSMUSG00000103415",0,0,0,0
"ENSMUSG00000072258",1,2,3,4
"ENSMUSG00000104212",0,1,2,1
"ENSMUSG00000053461",0,0,0,1
"ENSMUSG00000104022",0,0,0,0
"ENSMUSG00000103451",0,0,0,0
"ENSMUSG00000090533",0,0,0,0
"ENSMUSG00000103305",0,0,0,0
"ENSMUSG00000104007",0,0,0,0
"ENSMUSG00000102743",0,0,0,0
"ENSMUSG00000039384",6,1,1,4
"ENSMUSG00000044854",0,0,0,0
"ENSMUSG00000102682",0,0,0,0
"ENSMUSG00000102794",0,0,0,0
"ENSMUSG00000104419",0,0,0,0
"ENSMUSG00000101574",0,0,0,0
"ENSMUSG00000089057",0,0,0,0
"ENSMUSG00000103308",0,0,0,0
"ENSMUSG00000102606",0,0,0,0
"ENSMUSG00000103314",0,0,0,0
"ENSMUSG00000092578",0,0,0,0
"ENSMUSG00000039377",0,1,0,1
"ENSMUSG00000102158",0,0,0,0
"ENSMUSG00000026621",0,0,0,0
"ENSMUSG00000073481",2,3,2,3
"ENSMUSG00000088559",0,0,0,0
"ENSMUSG00000088562",0,0,0,0
"ENSMUSG00000039349",24,8,24,18
"ENSMUSG00000026620",24,23,27,15
"ENSMUSG00000102784",0,0,0,0
"ENSMUSG00000103942",0,0,0,0
"ENSMUSG00000103478",0,0,0,0
"ENSMUSG00000104461",0,0,0,0
"ENSMUSG00000039318",7,12,2,9
"ENSMUSG00000077571",0,0,0,0
"ENSMUSG00000105770",0,0,0,0
"ENSMUSG00000103613",0,0,0,0
"ENSMUSG00000026618",6,2,7,2
"ENSMUSG00000104368",0,0,0,0
"ENSMUSG00000065581",0,0,0,0
"ENSMUSG00000065562",0,0,0,0
"ENSMUSG00000102526",0,0,0,0
"ENSMUSG00000026617",12,8,11,18
"ENSMUSG00000097261",0,0,0,0
"ENSMUSG00000026615",4,9,11,7
"ENSMUSG00000051295",0,0,0,0
"ENSMUSG00000118510",0,0,0,0
"ENSMUSG00000097615",0,2,2,3
"ENSMUSG00000026614",4,2,5,6
"ENSMUSG00000102185",0,0,1,0
"ENSMUSG00000103799",0,0,0,0
"ENSMUSG00000102546",0,0,0,0
"ENSMUSG00000039246",2,0,2,1
"ENSMUSG00000103056",0,0,0,0
"ENSMUSG00000089363",0,0,0,0
"ENSMUSG00000103449",0,0,0,0
"ENSMUSG00000102790",0,0,0,0
"ENSMUSG00000102217",0,0,0,0
"ENSMUSG00000103690",0,0,0,0
"ENSMUSG00000039239",2,8,5,4
"ENSMUSG00000089045",0,0,0,0
"ENSMUSG00000100393",0,0,0,0
"ENSMUSG00000102619",0,0,0,0
"ENSMUSG00000001305",0,0,1,0
"ENSMUSG00000097784",0,0,0,0
"ENSMUSG00000103503",0,0,0,0
"ENSMUSG00000097935",0,1,0,0
"ENSMUSG00000104312",0,0,0,0
"ENSMUSG00000039224",0,0,0,0
